"","Sample.name","Sex","Phase","Brood.date","Sample","Tank","File.name.ind.geno","MajorMinor"
"80","BLUE.I4A","F",1,NA,"BLUE","I4A","Ind71.1","AB"
"81","BLUE.I4A","F",1,NA,"BLUE","I4A","Ind71.2","BB"
"82","BLUE.I5A","F",1,NA,"BLUE","I5A","Ind17","AA"
"83","BLUE.I5A","F",1,NA,"BLUE","I5A","Ind17.1","AB"
"84","BLUE.I5A","F",1,NA,"BLUE","I5A","Ind17.2","BB"
"85","BROWN.B2","M",2,NA,"BROWN","B2","Ind67","AA"
"86","BROWN.B2","M",2,NA,"BROWN","B2","Ind67.1","AB"
"87","BROWN.B2","M",2,NA,"BROWN","B2","Ind67.2","BB"
"88","BROWN.B5B","F",1,NA,"BROWN","B5B","Ind21","AA"
"89","BROWN.B5B","F",1,NA,"BROWN","B5B","Ind21.1","AB"
"90","BROWN.B5B","F",1,NA,"BROWN","B5B","Ind21.2","BB"
"91","BROWN.C2","M",2,NA,"BROWN","C2","Ind16","AA"
"92","BROWN.C2","M",2,NA,"BROWN","C2","Ind16.1","AB"
"93","BROWN.C2","M",2,NA,"BROWN","C2","Ind16.2","BB"
"94","BROWN.D2","M",2,NA,"BROWN","D2","Ind44","AA"
"95","BROWN.D2","M",2,NA,"BROWN","D2","Ind44.1","AB"
"96","BROWN.D2","M",2,NA,"BROWN","D2","Ind44.2","BB"
"97","BROWN.E2","M",2,NA,"BROWN","E2","Ind62","AA"
"98","BROWN.E2","M",2,NA,"BROWN","E2","Ind62.1","AB"
"99","BROWN.E2","M",2,NA,"BROWN","E2","Ind62.2","BB"
"100","BROWN.F2","M",2,NA,"BROWN","F2","Ind91","AA"
"101","BROWN.F2","M",2,NA,"BROWN","F2","Ind91.1","AB"
"102","BROWN.F2","M",2,NA,"BROWN","F2","Ind91.2","BB"
"103","BROWN.G2","M",2,NA,"BROWN","G2","Ind39","AA"
"104","BROWN.G2","M",2,NA,"BROWN","G2","Ind39.1","AB"
"105","BROWN.G2","M",2,NA,"BROWN","G2","Ind39.2","BB"
"106","C2.CLEAR.8.5","B",2,"8.5","CLEAR","C2","Ind115","AA"
"107","C2.CLEAR.8.5","B",2,"8.5","CLEAR","C2","Ind115.1","AB"
"108","C2.CLEAR.8.5","B",2,"8.5","CLEAR","C2","Ind115.2","BB"
"109","C2.GREY.7.26","B",2,"7.26","GREY","C2","Ind97","AA"
"110","C2.GREY.7.26","B",2,"7.26","GREY","C2","Ind97.1","AB"
"111","C2.GREY.7.26","B",2,"7.26","GREY","C2","Ind97.2","BB"
"112","C2.LIGHTBLUE.8.5_A","B",2,"8.5_A","LIGHTBLUE","C2","Ind127","AA"
"113","C2.LIGHTBLUE.8.5_A","B",2,"8.5_A","LIGHTBLUE","C2","Ind127.1","AB"
"114","C2.LIGHTBLUE.8.5_A","B",2,"8.5_A","LIGHTBLUE","C2","Ind127.2","BB"
"115","C2.LIGHTBLUE.8.5_B","B",2,"8.5_B","LIGHTBLUE","C2","Ind139","AA"
"116","C2.LIGHTBLUE.8.5_B","B",2,"8.5_B","LIGHTBLUE","C2","Ind139.1","AB"
"117","C2.LIGHTBLUE.8.5_B","B",2,"8.5_B","LIGHTBLUE","C2","Ind139.2","BB"
"118","C2.ORANGE.7.26","B",2,"7.26","ORANGE","C2","Ind128","AA"
"119","C2.ORANGE.7.26","B",2,"7.26","ORANGE","C2","Ind128.1","AB"
"120","C2.ORANGE.7.26","B",2,"7.26","ORANGE","C2","Ind128.2","BB"
"121","C2.TAN.7.26","B",2,"7.26","TAN","C2","Ind140","AA"
"122","C2.TAN.7.26","B",2,"7.26","TAN","C2","Ind140.1","AB"
"123","C2.TAN.7.26","B",2,"7.26","TAN","C2","Ind140.2","BB"
"124","C2.TEAL.8.5","B",2,"8.5","TEAL","C2","Ind103","AA"
"125","C2.TEAL.8.5","B",2,"8.5","TEAL","C2","Ind103.1","AB"
"126","C2.TEAL.8.5","B",2,"8.5","TEAL","C2","Ind103.2","BB"
"127","CLEAR.C2","F",2,NA,"CLEAR","C2","Ind12","AA"
"128","CLEAR.C2","F",2,NA,"CLEAR","C2","Ind12.1","AB"
"129","CLEAR.C2","F",2,NA,"CLEAR","C2","Ind12.2","BB"
"130","CLEAR.E2","F",2,NA,"CLEAR","E2","Ind73","AA"
"131","CLEAR.E2","F",2,NA,"CLEAR","E2","Ind73.1","AB"
"132","CLEAR.E2","F",2,NA,"CLEAR","E2","Ind73.2","BB"
"133","CLEAR.F2","F",2,NA,"CLEAR","F2","Ind50","AA"
"134","CLEAR.F2","F",2,NA,"CLEAR","F2","Ind50.1","AB"
"135","CLEAR.F2","F",2,NA,"CLEAR","F2","Ind50.2","BB"
"136","CLEAR.G2","F",2,NA,"CLEAR","G2","Ind25","AA"
"137","CLEAR.G2","F",2,NA,"CLEAR","G2","Ind25.1","AB"
"138","CLEAR.G2","F",2,NA,"CLEAR","G2","Ind25.2","BB"
"139","D2.LIGHTBLUE.6.23","B",2,"6.23","LIGHTBLUE","D2","Ind120","AA"
"140","D2.LIGHTBLUE.6.23","B",2,"6.23","LIGHTBLUE","D2","Ind120.1","AB"
"141","D2.LIGHTBLUE.6.23","B",2,"6.23","LIGHTBLUE","D2","Ind120.2","BB"
"142","D2.ORANGE.8.24","B",2,"8.24","ORANGE","D2","Ind110","AA"
"143","D2.ORANGE.8.24","B",2,"8.24","ORANGE","D2","Ind110.1","AB"
"144","D2.ORANGE.8.24","B",2,"8.24","ORANGE","D2","Ind110.2","BB"
"145","D2.TEAL.8.24","B",2,"8.24","TEAL","D2","Ind98","AA"
"146","D2.TEAL.8.24","B",2,"8.24","TEAL","D2","Ind98.1","AB"
"147","D2.TEAL.8.24","B",2,"8.24","TEAL","D2","Ind98.2","BB"
"148","E2.CLEAR.6.23","B",2,"6.23","CLEAR","E2","Ind132","AA"
"149","E2.CLEAR.6.23","B",2,"6.23","CLEAR","E2","Ind132.1","AB"
"150","E2.CLEAR.6.23","B",2,"6.23","CLEAR","E2","Ind132.2","BB"
"151","E2.CLEAR.8.17","B",2,"8.17","CLEAR","E2","Ind123","AA"
"152","E2.CLEAR.8.17","B",2,"8.17","CLEAR","E2","Ind123.1","AB"
"153","E2.CLEAR.8.17","B",2,"8.17","CLEAR","E2","Ind123.2","BB"
"154","E2.GREY.7.27","B",2,"7.27","GREY","E2","Ind104","AA"
"155","E2.GREY.7.27","B",2,"7.27","GREY","E2","Ind104.1","AB"
"156","E2.GREY.7.27","B",2,"7.27","GREY","E2","Ind104.2","BB"
"157","E2.LIGHTBLUE.7.27","B",2,"7.27","LIGHTBLUE","E2","Ind116","AA"
"158","E2.LIGHTBLUE.7.27","B",2,"7.27","LIGHTBLUE","E2","Ind116.1","AB"
"159","E2.LIGHTBLUE.7.27","B",2,"7.27","LIGHTBLUE","E2","Ind116.2","BB"
"160","E2.PINK.8.17","B",2,"8.17","PINK","E2","Ind111","AA"
"161","E2.PINK.8.17","B",2,"8.17","PINK","E2","Ind111.1","AB"
"162","E2.PINK.8.17","B",2,"8.17","PINK","E2","Ind111.2","BB"
"163","F2.CLEAR.8.17","B",2,"8.17","CLEAR","F2","Ind99","AA"
